shortName;regularMarketTime;regularMarketPrice;regularMarketDayHigh;regularMarketDayLow;regularMarketVolume;symbol;earningsPerShare
FII XP MALLSCI;2024-12-05T16:05:02,000Z;92,35;94,18;92,15;108507;XPML11;None
FII TRX REALCI;2024-12-05T16:05:26,000Z;97,1;97,95;96,61;61563;TRXF11;None
BRASIL      ON  EJ  NM;2024-12-05T16:03:41,000Z;25,45;25,57;25,27;5714500;BBAS3;3,633902
BTGP BANCO  UNT     N2;2024-12-05T16:06:10,000Z;31,44;31,44;30,94;3446600;BPAC11;None
ISA ENERGIA PN      N1;2024-12-04T14:15:06,000Z;24,02;24,06;23,92;252100;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-05T16:06:04,000Z;41,62;42,15;40,72;214700;ORVR3;1,9278731
ITAUSA      PN      N1;2024-12-05T16:06:00,000Z;9,42;9,46;9,35;12252800;ITSA4;1,3595191
COPASA      ON      NM;2024-12-05T16:06:00,000Z;24,96;25,02;24,61;371300;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-05T16:06:11,000Z;39,76;40,22;39,37;923800;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-05T16:06:23,000Z;3,63;3,68;3,55;195700;FIQE3;0,4900955
TIM         ON      NM;2024-12-05T16:06:00,000Z;16,18;16,27;16,03;2940600;TIMS3;1,3174606
TELEF BRASILON;2024-12-05T16:06:00,000Z;51,68;51,79;50,9;1306500;VIVT3;3,2658407
PETZ        ON      NM;2024-12-05T16:05:33,000Z;4,21;4,27;4,18;2055600;PETZ3;0,0119488
SABESP      ON      NM;2024-12-05T16:06:04,000Z;94,27;94,7;91,7;1889900;SBSP3;13,6514839
FII RIZA TX CI;2024-12-05T16:05:32,000Z;85;86;84,91;33006;RZTR11;None
FII HGCR PAXCI;2024-12-05T16:04:55,000Z;91,56;92,3;91,5;19117;HGCR11;None
FII XP CRED CI;2024-12-05T16:05:05,000Z;70,93;72,42;70,72;18134;XPCI11;None
FII MERITO ICI;2024-12-05T16:04:33,000Z;88,55;89,24;88,2;7369;MFII11;None
FII TG ATIVOCI;2024-12-05T16:05:22,000Z;88,54;90,64;88,36;64952;TGAR11;None
FII BC FUND CI;2024-12-05T16:04:59,000Z;41,32;41,51;41,17;17923;BRCR11;None
FII XP SELECCI;2024-12-05T16:05:31,000Z;6,13;6,17;6,08;37723;XPSF11;None
FII BTLG    CI;2024-12-05T16:05:01,000Z;89,85;90,35;89;61932;BTLG11;None
FII VBI LOG CI;2024-12-05T16:05:10,000Z;91,77;93,46;91,32;13370;LVBI11;None
FII VINCI LGCI;2024-12-05T16:05:22,000Z;70,33;72,86;70,1;32946;VILG11;None
FII XP LOG  CI;2024-12-05T16:05:02,000Z;87,65;88,84;87,65;29698;XPLG11;None
FII HEDGEBS CI  ES;2024-12-05T16:05:06,000Z;180,51;184,95;180;9285;HGBS11;None
FII VINCI SCCI;2024-12-05T16:05:28,000Z;88,66;90,97;88,6;50346;VISC11;None
FII XP MALLSCI;2024-12-05T16:05:02,000Z;92,35;94,18;92,15;108507;XPML11;None
FII TRX REALCI;2024-12-05T16:05:26,000Z;97,1;97,95;96,61;61563;TRXF11;None
BRASIL      ON  EJ  NM;2024-12-05T16:03:41,000Z;25,45;25,57;25,27;5714500;BBAS3;3,633902
BTGP BANCO  UNT     N2;2024-12-05T16:06:10,000Z;31,44;31,44;30,94;3446600;BPAC11;None
ISA ENERGIA PN      N1;2024-12-05T16:06:14,000Z;24,47;24,57;24,29;714900;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-05T16:06:04,000Z;41,62;42,15;40,72;214700;ORVR3;1,9278731
ITAUSA      PN      N1;2024-12-05T16:06:00,000Z;9,42;9,46;9,35;12252800;ITSA4;1,3595191
COPASA      ON      NM;2024-12-05T16:06:00,000Z;24,96;25,02;24,61;371300;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-05T16:06:11,000Z;39,76;40,22;39,37;923800;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-05T16:06:23,000Z;3,63;3,68;3,55;195700;FIQE3;0,4900955
TIM         ON      NM;2024-12-05T16:06:00,000Z;16,18;16,27;16,03;2940600;TIMS3;1,3174606
TELEF BRASILON;2024-12-05T16:06:00,000Z;51,68;51,79;50,9;1306500;VIVT3;3,2658407
PETZ        ON      NM;2024-12-05T16:05:33,000Z;4,21;4,27;4,18;2055600;PETZ3;0,0119488
SABESP      ON      NM;2024-12-05T16:06:04,000Z;94,27;94,7;91,7;1889900;SBSP3;13,6514839
FII RIZA TX CI;2024-12-06T15:14:59,000Z;86,7;87,95;85,57;22230;RZTR11;None
FII HGCR PAXCI;2024-12-06T16:04:42,000Z;92,03;92,21;90,09;44215;HGCR11;None
FII XP CRED CI;2024-12-06T15:15:21,000Z;71,03;72,53;68,6;9470;XPCI11;None
FII MERITO ICI;2024-12-06T15:14:40,000Z;87,12;87,51;85,06;3592;MFII11;None
FII TG ATIVOCI;2024-12-06T15:15:07,000Z;91,09;91,49;88,3;45186;TGAR11;None
FII BC FUND CI;2024-12-06T15:15:07,000Z;40,91;42,14;40,9;25650;BRCR11;None
FII XP SELECCI;2024-12-06T15:14:18,000Z;6,22;6,27;6,03;26317;XPSF11;None
FII BTLG    CI;2024-12-06T15:14:59,000Z;90,2;90,5;86,45;130132;BTLG11;None
FII VBI LOG CI;2024-12-06T15:14:50,000Z;93,1;93,45;89,33;20866;LVBI11;None
FII VINCI LGCI;2024-12-06T15:15:35,000Z;71,43;72,15;70,1;18404;VILG11;None
FII XP LOG  CI;2024-12-06T15:19:43,000Z;90,95;91,6;87,98;21329;XPLG11;None
FII HEDGEBS CI  ES;2024-12-06T15:15:16,000Z;183,25;183,89;180;8670;HGBS11;None
FII VINCI SCCI;2024-12-06T15:19:55,000Z;92,21;92,42;87,32;43033;VISC11;None
FII XP MALLSCI;2024-12-06T15:15:03,000Z;96,24;96,79;90,32;159743;XPML11;None
FII TRX REALCI;2024-12-06T15:15:00,000Z;96,03;96,85;94;48821;TRXF11;None
BRASIL      ON  EJ  NM;2024-12-06T15:20:01,000Z;24,7;25,35;24,68;14608600;BBAS3;3,633902
BTGP BANCO  UNT     N2;2024-12-06T15:15:01,000Z;30,95;31,76;30,8;5971400;BPAC11;None
ISA ENERGIA PN      N1;2024-12-05T16:06:14,000Z;24,47;24,57;24,29;714900;ISAE4;5,0207267
ORIZON      ON      NM;2024-12-06T15:19:44,000Z;41,49;41,89;41,42;134600;ORVR3;1,9278731
ITAUSA      PN      N1;2024-12-06T15:20:00,000Z;9,31;9,46;9,29;6035000;ITSA4;1,3595191
COPASA      ON      NM;2024-12-06T15:20:01,000Z;24,72;25,2;24,55;315700;CSMG3;3,6900618
PORTO SEGUROON      NM;2024-12-06T15:15:05,000Z;39,31;39,69;39,18;410900;PSSA3;4,056555
UNIFIQUE    ON      NM;2024-12-06T16:05:31,000Z;3,53;3,62;3,52;152000;FIQE3;0,4900955
TIM         ON      NM;2024-12-06T15:20:02,000Z;15,89;16,24;15,85;914300;TIMS3;1,3174606
TELEF BRASILON;2024-12-06T15:20:00,000Z;51,6;52,6;51,49;737700;VIVT3;3,2658407
PETZ        ON      NM;2024-12-06T16:04:45,000Z;4,13;4,22;4,09;2358900;PETZ3;0,0119488
SABESP      ON      NM;2024-12-05T16:06:04,000Z;94,27;94,7;91,7;1889900;SBSP3;13,6514839
FII RIZA TX CI  ER;2024-12-10T19:44:58,000Z;83,94;85,91;83,93;48063;RZTR11;None
FII HGCR PAXCI  ER;2024-12-10T19:45:05,000Z;90,09;92,38;89,86;24770;HGCR11;None
FII XP CRED CI  ER;2024-12-10T19:44:28,000Z;71,12;71,83;69,69;29259;XPCI11;None
FII MERITO ICI  ER;2024-12-10T19:44:37,000Z;84,51;87,47;84,21;14782;MFII11;None
FII TG ATIVOCI  ER;2024-12-10T19:43:55,000Z;88,27;89,49;87,48;72057;TGAR11;None
FII BC FUND CI;2024-12-10T19:44:21,000Z;40,05;40,93;40,04;31150;BRCR11;None
FII XP SELECCI  ER;2024-12-10T19:44:57,000Z;6,01;6,13;6;106489;XPSF11;None
FII BTLG    CI;2024-12-10T19:40:19,000Z;90,93;92,9;89,75;90510;BTLG11;None
FII VBI LOG CI  ER;2024-12-10T19:41:11,000Z;91,49;92,98;91,05;32247;LVBI11;None
FII VINCI LGCI  ER;2024-12-10T19:44:14,000Z;70,63;71,19;69,76;35524;VILG11;None
FII XP LOG  CI  ER;2024-12-10T19:44:55,000Z;89,95;91,89;89,5;41457;XPLG11;None
FII HEDGEBS CI  ERS;2024-12-10T19:44:52,000Z;182,31;187,88;180,5;15394;HGBS11;None
FII VINCI SCCI  ER;2024-12-10T19:44:50,000Z;87,13;89,99;87;91658;VISC11;None
FII XP MALLSCI  ES;2024-12-10T19:44:26,000Z;95,82;98,33;95,15;138880;XPML11;None
FII TRX REALCI  ER;2024-12-10T19:44:26,000Z;94,62;95,37;93,8;65428;TRXF11;None
